id,gene,class
12064,Bdnf,growth-factor
18205,Ntf3,growth-factor
78405,Ntf5,growth-factor
16334,Ins2,growth-factor
16333,Ins1,growth-factor
16000,Igf1,growth-factor
16002,Igf2,growth-factor
18590,Pdgfa,growth-factor
18591,Pdgfb,growth-factor
54635,Pdgfc,growth-factor
71785,Pdgfd,growth-factor
12977,Csf1,growth-factor
17311,Kitl,growth-factor
14256,Flt3l,growth-factor
22339,Vegfa,growth-factor
22340,Vegfb,growth-factor
18654,Pgf,growth-factor
22341,Vegfc,growth-factor
14205,Vegfd,growth-factor
15234,Hgf,growth-factor
11600,Angpt1,growth-factor
11601,Angpt2,growth-factor
11602,Angpt4,growth-factor
13636,Efna1,growth-factor
13637,Efna2,growth-factor
13639,Efna4,growth-factor
13640,Efna5,growth-factor
13638,Efna3,growth-factor
