"W1-H","W1-L","W1-M","N1-H","N1-L","N1-M","W2-H","W2-L","W2-M","W3-H","W3-L","W3-M","W4-H","W4-L","W5-H","W5-L"
"2310068J16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2410002F23Rik",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
"2410004B18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2410006H16Rik",1,2,49,10,2,2,2,5,4,1,6,9,55,13,0,1
"2410015M20Rik",86,35,214,25,8,16,37,48,32,320,298,524,202,48,2,99
"2410016O06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2410022M11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2410089E03Rik",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2410124H12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2410131K14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2500002B13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2500004C02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2510002D24Rik",13,42,202,9,6,12,3,9,37,9,184,348,6,2,0,3
"2510009E07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2510017J16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2510039O18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2510046G10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2600014E21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2610001A08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2610001J05Rik",0,1,3,4,0,0,1,1,0,7,3,43,21,0,0,1
"2610002M06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2610005L07Rik",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"2610008E11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2610020C07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2610020H08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2610021A01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2610035D17Rik",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"2610037D02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2610044O15Rik8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2610203C20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2610203C22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2610301B20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
